"Statistic Label","Year","Hazardousness","Waste Category","Waste Management Operation","UNIT","VALUE"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Total waste","All Waste treatment[TRT]","Tonnes","18227850"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Total waste","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes","6404041"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Total waste","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes","6404041"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Total waste","Disposal - incineration (D10)[DSP_I]","Tonnes","37413"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Total waste","Disposal - other (D2-D4, D6-D7)[DSP_OTH]","Tonnes","0"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Total waste","Recovery - energy recovery (R1)[RCV_E]","Tonnes","168553"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Total waste","Recovery - recycling and backfilling (R2-R11)[RCV_R_B]","Tonnes","11617843"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Total waste","Recovery - recycling[RCV_R]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Total waste","Recovery - backfilling[RCV_B]","Tonnes",""
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Chemical and medical wastes (subtotal)[W01-05]","All Waste treatment[TRT]","Tonnes","102445"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Chemical and medical wastes (subtotal)[W01-05]","Disposal - landfill and other (D1-D7, D12)[DSP_L_OTH]","Tonnes","33887"
"Waste treated","2004","Hazardous and non-hazardous - Total[HAZ_NHAZ]","Chemical and medical wastes (subtotal)[W01-05]","Disposal - landfill (D1, D5, D12)[DSP_L]","Tonnes","33887"
