year,treatment,waste_thousand_tonnes
2004,Energy Recovery (Incineration),168.6
2004,Incineration (No Recovery),37.4
2004,Landfill,6404.0
2004,Recycling & Recovery,11617.8
2006,Energy Recovery (Incineration),141.7
2006,Incineration (No Recovery),35.2
2006,Landfill,7074.0
2006,Recycling & Recovery,15462.4
2008,Energy Recovery (Incineration),103.7
2008,Incineration (No Recovery),20.9
2008,Landfill,5662.4
2008,Recycling & Recovery,10415.5
2010,Energy Recovery (Incineration),167.7
2010,Incineration (No Recovery),42.8
2010,Landfill,3778.7
2010,Recycling & Recovery,3356.4
2012,Energy Recovery (Incineration),403.0
2012,Incineration (No Recovery),13.4
2012,Landfill,2820.8
2012,Recycling & Recovery,2811.8
2014,Energy Recovery (Incineration),721.1
2014,Incineration (No Recovery),13.1
2014,Landfill,2317.7
2014,Recycling & Recovery,4999.2
2016,Energy Recovery (Incineration),559.1
2016,Incineration (No Recovery),7.5
2016,Landfill,2930.8
2016,Recycling & Recovery,6677.5
2018,Energy Recovery (Incineration),1206.6
2018,Incineration (No Recovery),8.9
2018,Landfill,2098.5
2018,Recycling & Recovery,7705.4
2020,Energy Recovery (Incineration),1179.8
2020,Incineration (No Recovery),9.6
2020,Landfill,2813.2
2020,Recycling & Recovery,8804.9
